x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4,bluetooch5,bluetooch6
18,12,18x12y,-92.6065,-88.9791,-78.2161,-78.3118,-89.3686,-69.5595
18,12,18x12y,-94.9569,-93.7884,-75.0177,-83.3748,-91.1382,-74.5023
18,12,18x12y,-91.059,-90.3658,-82.7916,-81.508,-87.3549,-69.6973
18,13,18x13y,-95.702,-95.2713,-85.9149,-79.9422,-85.5742,-64.4778
18,13,18x13y,-95.688,-94.6029,-83.7106,-88.1812,-86.8187,-66.1157
18,13,18x13y,-97.1639,-91.5415,-81.5486,-77.4257,-87.0639,-64.4669
18,13,18x13y,-93.977,-89.2367,-77.6193,-84.393,-92.3428,-67.1886
18,13,18x13y,-94.9968,-87.9041,-78.3759,-81.0161,-94.8334,-72.8087
18,14,18x14y,-101.3895,-91.3841,-86.3281,-87.3125,-93.3313,-65.5846
18,14,18x14y,-97.6903,-96.8712,-85.2162,-84.9599,-89.5788,-64.3058
18,14,18x14y,-103.0246,-96.3081,-85.0343,-82.6409,-94.2252,-67.7347
18,14,18x14y,-96.4032,-91.4235,-83.9478,-84.0123,-87.6296,-66.1755
18,14,18x14y,-104.1145,-90.9372,-86.0751,-80.9992,-90.6583,-67.3991
18,15,18x15y,-105.1315,-94.227,-85.6289,-84.0907,-88.6763,-62.345
18,15,18x15y,-97.5191,-92.3947,-84.2302,-85.9913,-86.8903,-65.8471
18,15,18x15y,-101.4372,-93.295,-83.6257,-81.6359,-90.484,-64.2128
18,15,18x15y,-91.6354,-95.5702,-85.3957,-84.8678,-83.593,-63.3522
18,15,18x15y,-89.7999,-90.6407,-89.0348,-82.1533,-88.6555,-64.734
18,16,18x16y,-93.1322,-94.8168,-84.63,-88.367,-90.5199,-63.148
18,16,18x16y,-102.4868,-90.3586,-86.3185,-82.5815,-83.8252,-64.5065
18,16,18x16y,-109.5964,-95.5889,-82.5381,-85.0317,-87.9733,-64.5202
18,16,18x16y,-91.5231,-87.1953,-86.8646,-85.6728,-89.5702,-67.8154
18,16,18x16y,-99.2075,-89.3425,-84.9921,-87.1667,-91.0458,-67.4858
18,17,18x17y,-100.442,-95.2972,-91.2393,-80.9136,-83.4867,-71.8993
18,17,18x17y,-96.3662,-95.5907,-83.8,-86.2195,-89.1817,-69.8104
18,17,18x17y,-95.9386,-93.897,-93.2003,-87.329,-88.5486,-67.4708
18,17,18x17y,-104.0978,-95.9994,-84.0634,-88.5253,-95.7273,-68.4854
18,17,18x17y,-105.5865,-97.6448,-88.3698,-82.769,-89.5136,-68.7433
18,18,18x18y,-96.2829,-94.5291,-87.4992,-84.9717,-90.6556,-69.1715
18,18,18x18y,-104.4333,-93.1029,-93.0727,-83.8529,-86.058,-70.3775
18,18,18x18y,-98.939,-87.5396,-88.2094,-81.5298,-83.3738,-72.2433
18,18,18x18y,-97.0298,-95.5144,-92.357,-90.0227,-90.2147,-67.2256
18,18,18x18y,-98.3393,-94.5078,-87.5372,-88.0034,-86.9953,-75.6117
18,19,18x19y,-97.6522,-94.559,-91.3145,-92.0299,-88.0179,-71.5399
18,19,18x19y,-99.4156,-91.705,-93.2959,-93.2805,-86.7514,-68.6273
18,19,18x19y,-94.0444,-97.0534,-90.9756,-91.3571,-90.8811,-72.5583
18,19,18x19y,-107.0095,-87.7877,-90.9868,-83.9641,-92.3621,-72.1061
18,19,18x19y,-100.9514,-99.5667,-94.1889,-87.9404,-87.7997,-71.5402
19,1,19x1y,-92.8776,-97.6774,-70.4937,-87.7693,-94.0821,-92.8088
19,1,19x1y,-96.4624,-91.7851,-77.575,-91.6743,-99.7127,-92.5647
19,1,19x1y,-99.2911,-90.4145,-75.112,-88.7304,-89.6838,-88.7807
19,1,19x1y,-95.4302,-94.7331,-77.7379,-89.1282,-89.1182,-94.145
19,1,19x1y,-96.2739,-88.7469,-73.6591,-87.0791,-102.57,-90.821
19,2,19x2y,-94.8386,-90.8761,-73.3227,-92.2842,-97.0957,-90.278
19,2,19x2y,-88.1603,-90.6533,-75.6573,-88.3362,-94.5836,-82.2154
19,2,19x2y,-92.2238,-93.8035,-73.4543,-93.625,-99.3916,-94.8813
19,2,19x2y,-90.5631,-87.3181,-74.6225,-86.4471,-90.3329,-89.5752
19,2,19x2y,-97.9654,-91.2487,-76.8851,-81.9193,-91.5666,-91.7461
19,3,19x3y,-91.2385,-88.275,-75.2573,-83.5639,-97.8933,-88.9793
19,3,19x3y,-88.6641,-90.4796,-69.7813,-86.3102,-90.311,-94.7977
19,3,19x3y,-90.6415,-97.1709,-68.7857,-81.2214,-90.7091,-88.1297
19,3,19x3y,-93.0369,-88.9546,-73.691,-83.5444,-90.754,-84.9673
19,3,19x3y,-99.4018,-84.8158,-74.7663,-80.8619,-87.5421,-85.9358
19,4,19x4y,-87.4869,-83.095,-69.4367,-80.721,-95.1127,-82.4036
19,4,19x4y,-99.7957,-94.3672,-70.0523,-89.0048,-91.6888,-84.048
19,4,19x4y,-92.3368,-96.8046,-67.1595,-87.3397,-100.4419,-82.9353
19,4,19x4y,-98.5455,-84.9189,-65.5111,-85.1997,-90.8688,-84.1065
19,4,19x4y,-89.8484,-84.2507,-70.1752,-87.6825,-91.4644,-87.1134
19,5,19x5y,-92.9307,-84.8899,-68.547,-83.413,-98.208,-81.2575
19,5,19x5y,-97.5459,-86.6772,-71.9907,-88.9933,-93.9673,-87.5964
19,5,19x5y,-91.4457,-97.9126,-70.001,-90.7213,-89.3083,-82.0643
19,5,19x5y,-98.2674,-88.59,-71.3711,-81.8701,-88.7647,-86.7222
19,5,19x5y,-96.1854,-88.4736,-67.8785,-84.4171,-86.7116,-81.9983
19,6,19x6y,-100.6536,-84.4641,-72.5737,-84.9003,-94.7416,-84.2671
19,6,19x6y,-99.5497,-91.6415,-66.954,-88.0065,-92.5681,-88.0512
19,6,19x6y,-95.3019,-85.8287,-68.9875,-82.0266,-91.4843,-85.8889
19,6,19x6y,-91.5767,-95.8654,-69.2313,-85.5769,-89.0244,-84.5073
19,6,19x6y,-102.2883,-90.559,-67.6652,-85.9278,-87.3721,-82.0767
19,7,19x7y,-102.0343,-94.7333,-75.0801,-85.0929,-86.7422,-88.7602
19,7,19x7y,-101.5627,-85.6144,-69.5789,-81.1905,-84.7055,-86.8782
19,7,19x7y,-90.2178,-88.4625,-68.1553,-80.8983,-85.7476,-78.626
19,7,19x7y,-103.2433,-85.4538,-68.9917,-82.6357,-86.8437,-78.8374
19,7,19x7y,-97.4641,-87.6983,-70.0748,-85.0545,-92.1924,-85.1965
19,8,19x8y,-102.9844,-89.8312,-73.4114,-86.395,-101.1654,-82.4356
19,8,19x8y,-95.1941,-86.5731,-70.8733,-84.151,-97.7005,-82.5525
19,8,19x8y,-96.2759,-92.436,-75.3501,-84.6694,-89.4811,-85.2522
19,8,19x8y,-95.003,-89.014,-74.1222,-78.517,-90.311,-78.3354
19,8,19x8y,-102.4712,-82.7935,-73.7714,-85.0469,-89.3809,-83.0569
19,9,19x9y,-92.8586,-85.4417,-72.0777,-83.6125,-95.9931,-77.1151
19,9,19x9y,-98.9142,-92.7866,-77.7846,-87.1726,-91.7695,-79.1898
19,9,19x9y,-97.6176,-84.4567,-74.0048,-88.792,-92.8861,-76.6887
19,9,19x9y,-100.4542,-92.6442,-76.1565,-81.1684,-94.3999,-77.8363
19,9,19x9y,-99.4094,-84.2854,-76.5217,-81.1397,-86.021,-79.4451
19,10,19x10y,-102.1019,-87.9169,-72.9778,-78.9939,-94.6188,-79.7094
19,10,19x10y,-99.2382,-93.8558,-75.9546,-91.0102,-84.3716,-80.0053
19,10,19x10y,-97.2461,-94.4195,-72.7399,-85.015,-91.9883,-76.7759
19,10,19x10y,-97.4609,-88.6775,-73.7809,-83.4396,-91.8638,-80.7456
19,10,19x10y,-90.9301,-93.8032,-74.9921,-85.3384,-94.6735,-75.4643
19,11,19x11y,-99.7273,-90.5121,-81.0631,-84.9884,-88.8451,-79.391
19,11,19x11y,-94.8665,-86.5097,-80.9377,-83.1828,-93.5321,-74.5887
19,11,19x11y,-88.5012,-88.9653,-79.811,-79.3122,-88.0644,-69.4083
19,11,19x11y,-96.6678,-94.2791,-79.4491,-84.5806,-91.3181,-73.7745
19,11,19x11y,-93.3906,-95.8317,-77.0129,-79.3399,-87.195,-77.056
19,12,19x12y,-94.6165,-92.0597,-83.4406,-80.2816,-91.9984,-77.3479
19,12,19x12y,-98.1173,-93.0582,-78.0439,-83.7179,-85.0916,-76.759
19,12,19x12y,-103.2193,-95.0827,-87.9704,-86.8146,-84.9081,-73.7465
19,12,19x12y,-93.7086,-86.0495,-79.2949,-81.4119,-90.8244,-71.0986
19,12,19x12y,-91.0616,-86.7734,-75.3619,-82.4351,-95.3151,-73.5511
19,13,19x13y,-96.0845,-96.6908,-78.3308,-87.3742,-87.0596,-73.5733
19,13,19x13y,-95.1682,-96.2253,-81.6143,-84.0442,-93.3436,-70.9071
19,13,19x13y,-104.0672,-90.9192,-82.1349,-85.4595,-89.9399,-70.0101
19,13,19x13y,-97.9178,-92.2694,-83.9989,-86.4042,-89.3209,-73.8755
19,13,19x13y,-98.6264,-96.6542,-84.9289,-86.5639,-88.3181,-65.1422
19,14,19x14y,-93.2267,-87.3863,-81.8935,-79.693,-91.7627,-67.1655
19,14,19x14y,-89.5668,-92.1327,-80.4832,-85.1616,-93.7142,-65.0277
19,14,19x14y,-92.2317,-94.732,-86.8072,-88.7084,-94.6141,-68.051
19,14,19x14y,-99.1221,-91.9062,-90.7189,-81.1775,-83.1414,-70.8913
19,14,19x14y,-96.9107,-91.9773,-84.7066,-84.9017,-91.0027,-69.4359
19,15,19x15y,-98.856,-91.803,-81.8138,-90.5349,-85.1581,-67.563
19,15,19x15y,-93.6565,-92.9379,-87.2584,-87.5701,-95.0135,-67.0838
19,15,19x15y,-105.8216,-88.5889,-79.9422,-82.5215,-92.0501,-69.1419
19,15,19x15y,-104.0908,-93.7955,-84.8329,-89.6207,-86.2953,-71.3514
19,15,19x15y,-100.9515,-96.4313,-91.4148,-83.7146,-88.6186,-67.3024
19,16,19x16y,-94.9562,-99.011,-90.8582,-82.4242,-85.5903,-70.0315
19,16,19x16y,-102.4949,-95.8208,-81.1586,-89.2483,-88.8197,-67.8984
19,16,19x16y,-96.6575,-90.8417,-80.0258,-89.9737,-94.3903,-66.7295
19,16,19x16y,-96.3096,-95.1849,-89.8521,-82.2775,-86.193,-71.3999
19,16,19x16y,-94.5187,-92.95,-84.8245,-89.8772,-92.7858,-73.8498
19,17,19x17y,-97.2891,-98.3431,-84.3792,-84.2021,-86.3469,-73.2917
