x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4
2,9,2x9y,-79.2427,-36.8513,-82.9852,-13.7622
2,9,2x9y,-88.2305,-60.8437,-83.8147,-78.6861
2,9,2x9y,-47.2578,-59.9264,-85.6251,-84.9583
3,0,3x0y,-63.4141,-81.2314,-77.0231,-80.5574
3,0,3x0y,-12.1708,-88.0144,-77.6483,-91.4745
3,0,3x0y,-61.817,-85.244,-81.4702,-91.4869
3,0,3x0y,-62.7489,-85.5212,-46.7882,-91.1533
3,0,3x0y,-64.7485,-48.722,-75.099,-85.3691
3,1,3x1y,-65.1464,-15.3494,-77.4497,-55.6217
3,1,3x1y,-39.8774,-18.0245,-82.3206,-87.1622
3,1,3x1y,-64.0751,-82.1015,-80.6101,-83.6424
3,1,3x1y,-66.7977,-84.1611,-82.3991,-93.3538
3,1,3x1y,-64.132,-17.5756,-78.7603,-83.7843
3,2,3x2y,-70.689,-77.2214,-76.087,-85.2879
3,2,3x2y,-67.1341,-84.5799,-74.4113,-90.3877
3,2,3x2y,-67.9817,-83.8297,-83.8547,-84.1249
3,2,3x2y,-69.573,-83.4512,-13.7218,-82.4242
3,2,3x2y,-68.1871,-77.9268,-78.5866,-81.5917
3,3,3x3y,-71.7957,-83.1664,-86.5505,-84.9614
3,3,3x3y,-70.8016,-83.8198,-73.7249,-84.9516
3,3,3x3y,-43.65,-81.486,-81.8074,-89.0984
3,3,3x3y,-74.6743,-77.1152,-77.7356,-82.6082
3,3,3x3y,-68.8853,-76.1765,-81.2269,-17.5933
3,4,3x4y,-77.8271,-79.6005,-46.8524,-77.926
3,4,3x4y,-76.1062,-78.1285,-80.5107,-79.6111
3,4,3x4y,-75.8253,-77.351,-84.5947,-81.659
3,4,3x4y,-75.7494,-78.995,-46.574,-45.594
3,4,3x4y,-75.8664,-72.4542,-82.3657,-81.2263
3,5,3x5y,-46.3416,-74.366,-80.1591,-15.5934
3,5,3x5y,-74.0096,-45.3157,-15.3296,-75.9974
3,5,3x5y,-78.5583,-69.8789,-77.661,-86.5402
3,5,3x5y,-73.5035,-73.203,-82.5083,-86.851
3,5,3x5y,-72.2859,-78.5376,-80.5188,-84.9301
3,6,3x6y,-78.362,-71.0944,-86.3618,-85.2654
3,6,3x6y,-76.3112,-70.5082,-16.3472,-82.3593
3,6,3x6y,-81.2279,-71.8336,-91.5209,-79.4913
3,6,3x6y,-77.2633,-44.9872,-82.1363,-76.746
3,6,3x6y,-78.8704,-14.4908,-85.8661,-49.0726
3,7,3x7y,-82.9834,-16.4387,-87.5392,-16.251
3,7,3x7y,-81.4976,-64.9642,-87.032,-78.3634
3,7,3x7y,-77.3875,-68.5084,-84.6114,-74.5117
3,7,3x7y,-77.0012,-72.3931,-83.5619,-75.4688
3,7,3x7y,-76.7332,-69.4573,-83.7326,-81.1822
3,8,3x8y,-84.2883,-67.4015,-54.0955,-82.5223
3,8,3x8y,-88.5702,-41.631,-86.186,-83.8265
3,8,3x8y,-82.7155,-66.6902,-87.9787,-79.3062
3,8,3x8y,-81.8223,-68.2943,-17.0532,-81.3607
3,8,3x8y,-85.2718,-41.3577,-89.5685,-81.739
3,9,3x9y,-81.1136,-65.8849,-90.1677,-85.038
3,9,3x9y,-13.9414,-68.9033,-52.9635,-75.3317
3,9,3x9y,-83.8803,-67.2695,-85.4275,-16.6605
3,9,3x9y,-83.1726,-65.7758,-18.1227,-83.7315
3,9,3x9y,-79.9626,-64.709,-87.6549,-78.2118
4,0,4x0y,-72.404,-86.1724,-76.2517,-85.8724
4,0,4x0y,-70.4971,-54.0643,-72.8163,-85.2906
4,0,4x0y,-13.6326,-84.9318,-70.4474,-48.2802
4,0,4x0y,-68.2394,-90.8462,-72.3806,-18.1355
4,0,4x0y,-68.1223,-16.1783,-80.566,-85.9038
4,1,4x1y,-68.7163,-90.5554,-75.0737,-85.7109
4,1,4x1y,-67.1632,-80.187,-72.5266,-89.2704
4,1,4x1y,-70.3071,-16.0361,-71.6979,-85.9984
4,1,4x1y,-70.1158,-86.7726,-47.1154,-87.9367
4,1,4x1y,-66.8691,-81.845,-76.3177,-19.9992
4,2,4x2y,-71.2742,-51.0666,-79.7909,-91.4958
4,2,4x2y,-70.3039,-90.603,-77.3117,-17.2261
4,2,4x2y,-71.9995,-83.1555,-76.7261,-89.2123
4,2,4x2y,-73.7691,-79.0284,-75.1704,-79.3385
4,2,4x2y,-76.2253,-79.8344,-73.1413,-80.7685
4,3,4x3y,-45.2592,-83.3411,-79.5775,-80.8734
4,3,4x3y,-74.4792,-81.7286,-76.0257,-77.5922
4,3,4x3y,-74.0955,-79.5076,-83.127,-84.2779
4,3,4x3y,-71.5272,-76.0023,-15.1159,-85.4257
4,3,4x3y,-71.6311,-79.0351,-78.6029,-84.5503
4,4,4x4y,-15.538,-16.2233,-75.1404,-87.0919
4,4,4x4y,-74.1285,-77.019,-77.1522,-83.3483
4,4,4x4y,-73.4499,-74.681,-82.8585,-81.1324
4,4,4x4y,-77.2306,-17.2708,-80.8076,-81.6749
4,4,4x4y,-72.2518,-79.0378,-78.0375,-82.1581
4,5,4x5y,-78.4403,-49.6931,-83.2585,-80.0154
4,5,4x5y,-16.2068,-80.1927,-76.4504,-50.9468
4,5,4x5y,-74.5289,-81.4517,-15.747,-78.5228
4,5,4x5y,-83.1273,-76.3823,-77.6281,-82.6102
4,5,4x5y,-71.5263,-77.0669,-80.8831,-82.4133
4,6,4x6y,-15.5283,-44.7739,-14.3276,-78.6867
4,6,4x6y,-78.9418,-71.4202,-49.8678,-80.1779
4,6,4x6y,-77.5049,-74.4305,-47.152,-80.1723
4,6,4x6y,-79.3895,-74.7358,-83.0873,-76.5717
4,6,4x6y,-15.1872,-69.7908,-80.693,-79.2321
4,7,4x7y,-77.437,-72.6215,-16.762,-75.9503
4,7,4x7y,-77.3957,-76.4972,-88.129,-76.7274
4,7,4x7y,-81.7093,-74.3514,-54.3646,-75.7724
4,7,4x7y,-84.1383,-76.4087,-85.8841,-73.5863
4,7,4x7y,-80.5757,-71.7902,-88.1472,-81.1003
4,8,4x8y,-89.0082,-69.8147,-90.1007,-74.7829
4,8,4x8y,-82.1224,-68.7747,-79.6968,-45.0948
4,8,4x8y,-83.3001,-71.954,-89.3327,-80.8526
4,8,4x8y,-48.1767,-73.6755,-85.1989,-77.4588
4,8,4x8y,-87.3099,-40.0695,-83.2502,-77.3937
4,9,4x9y,-82.3767,-70.3478,-84.316,-15.6618
4,9,4x9y,-18.434,-70.5952,-88.6386,-74.1112
4,9,4x9y,-80.3208,-72.9709,-87.7692,-14.9616
4,9,4x9y,-81.5897,-70.2917,-88.2334,-44.7592
4,9,4x9y,-91.5864,-71.3495,-84.6832,-78.6089
5,0,5x0y,-43.0587,-83.2786,-71.7266,-84.3007
5,0,5x0y,-73.9061,-17.2821,-45.0888,-84.1917
5,0,5x0y,-76.6664,-86.0663,-70.4897,-16.1102
5,0,5x0y,-73.9963,-87.6649,-71.7707,-86.4909
5,0,5x0y,-74.1859,-90.1187,-73.3697,-84.0813
5,1,5x1y,-72.1625,-85.316,-74.365,-84.771
5,1,5x1y,-78.1203,-89.0373,-76.4074,-19.2915
5,1,5x1y,-77.9573,-82.1763,-73.4706,-82.873
5,1,5x1y,-78.7751,-17.6973,-74.841,-80.7442
5,1,5x1y,-74.5262,-84.3476,-41.8466,-50.0584
5,2,5x2y,-14.9054,-77.0894,-14.7602,-82.2184
5,2,5x2y,-76.4252,-81.6466,-70.4721,-49.3752
5,2,5x2y,-72.0765,-88.8016,-42.2483,-83.412
5,2,5x2y,-71.0179,-77.3997,-73.8256,-81.3491
5,2,5x2y,-74.5274,-47.8059,-72.4223,-81.6896
5,3,5x3y,-71.5821,-81.8934,-76.938,-85.9695
5,3,5x3y,-43.5262,-84.3505,-15.5975,-16.1195
5,3,5x3y,-73.028,-85.2694,-43.6938,-84.0824
5,3,5x3y,-15.4812,-74.9643,-42.7288,-78.3468
5,3,5x3y,-77.274,-81.9666,-71.6662,-79.6184
5,4,5x4y,-76.5305,-79.5107,-80.3239,-76.2911
5,4,5x4y,-77.9337,-15.4122,-14.7737,-84.941
5,4,5x4y,-76.3718,-85.466,-42.3849,-79.6138
5,4,5x4y,-75.4992,-80.8721,-49.5185,-85.384
5,4,5x4y,-77.6023,-78.0051,-75.6675,-47.7363
5,5,5x5y,-83.8563,-80.2772,-78.8901,-17.4965
5,5,5x5y,-78.8783,-75.5695,-79.6292,-73.387
5,5,5x5y,-75.9696,-79.5931,-80.0222,-80.7332
5,5,5x5y,-79.8511,-17.355,-78.8398,-79.6001
5,5,5x5y,-81.583,-79.1626,-76.3901,-76.9583
